Date,Close,Volume,Insider_Trades,News_Sentiment
2024-05-14,187.43,52331944.0,,-1.0
2024-05-13,186.28,72044809.0,,
2024-05-10,183.05,50759496.0,,-1.0
2024-05-09,184.57,48982972.0,,
2024-05-08,182.74,45057087.0,,
2024-05-07,182.4,77305771.0,,
2024-05-06,181.71,78569667.0,,
2024-05-03,183.38,163224109.0,,
2024-05-02,173.03,94214915.0,,
2024-05-01,169.3,50383147.0,,
2024-04-30,170.33,65934776.0,,
2024-04-29,173.5,68169419.0,,
2024-04-26,169.3,44838354.0,,
2024-04-25,169.89,50558329.0,,
2024-04-24,169.02,48251835.0,,
2024-04-23,166.9,49537761.0,,
2024-04-22,165.84,48116443.0,,
2024-04-19,165.0,68149377.0,,
2024-04-18,167.04,43122903.0,,
2024-04-17,168.0,50901210.0,,
2024-04-16,169.38,73711235.0,,
2024-04-15,172.69,73531773.0,,
2024-04-12,176.55,101670886.0,,
2024-04-11,175.04,91070275.0,-19450813.0,
2024-04-10,167.78,49709336.0,,
2024-04-09,169.67,42231444.0,,
2024-04-08,168.45,37216858.0,,
2024-04-05,169.58,41975776.0,,
2024-04-04,168.82,53355055.0,,
2024-04-03,169.65,45571129.0,,
2024-04-02,168.84,49013991.0,-18489017.0,
2024-04-01,170.03,43772506.0,-33258614.0,
2024-03-28,171.48,65672690.0,,
2024-03-27,173.31,60273265.0,,
2024-03-26,169.71,57388449.0,,
2024-03-25,170.85,54288328.0,,
2024-03-22,172.28,71160138.0,,
2024-03-21,171.37,106181270.0,,
2024-03-20,178.67,53423102.0,,
2024-03-19,176.08,55215244.0,,
2024-03-18,173.72,75604184.0,,
2024-03-15,172.62,121752699.0,,
2024-03-14,173.0,72571635.0,,
2024-03-13,171.13,51948951.0,,
2024-03-12,173.23,59544927.0,,
2024-03-11,172.75,58929918.0,,
2024-03-08,170.73,76267041.0,,
2024-03-07,169.0,71765061.0,,
2024-03-06,169.12,68587707.0,,
2024-03-05,170.12,95132355.0,,
2024-03-04,175.1,81510101.0,,
2024-03-01,179.66,73563082.0,,
2024-02-29,180.75,136682597.0,-18094000.0,
2024-02-28,181.42,48953939.0,,
2024-02-27,182.63,54318851.0,,
2024-02-26,181.16,40867421.0,,
2024-02-23,182.52,45119677.0,,
2024-02-22,184.37,52292208.0,,
2024-02-21,182.32,41529674.0,,
2024-02-20,181.56,53665553.0,,
2024-02-16,182.31,49752465.0,,
2024-02-15,183.86,65434496.0,,
2024-02-14,184.15,54630517.0,,
2024-02-13,185.04,56529529.0,,
2024-02-12,187.15,41781934.0,,
2024-02-09,188.85,45155216.0,,
2024-02-08,188.32,40962046.0,,
2024-02-07,189.41,53438955.0,,
2024-02-06,189.3,43490759.0,,
2024-02-05,187.68,69668820.0,,
2024-02-02,185.85,102551680.0,,
2024-02-01,186.86,64885408.0,,
2024-01-31,184.4,55467803.0,,
2024-01-30,188.04,55859370.0,,
2024-01-29,191.73,47145622.0,,
2024-01-26,192.42,44594011.0,,
2024-01-25,194.17,54822126.0,,
2024-01-24,194.5,53463269.0,,
2024-01-23,195.18,42355590.0,,
2024-01-22,193.89,60133852.0,,
2024-01-19,191.56,68902985.0,,
2024-01-18,188.63,78005754.0,,
2024-01-17,182.68,47317433.0,,
2024-01-16,183.63,65603041.0,,
2024-01-12,185.92,40477782.0,,
2024-01-11,185.59,49128408.0,,
2024-01-10,186.19,46792908.0,,
2024-01-09,185.14,42841809.0,,
2024-01-08,185.56,59144470.0,,
2024-01-05,181.18,62196924.0,,
2024-01-04,181.91,71983570.0,,
2024-01-03,184.25,58414460.0,,
2024-01-02,185.64,82488674.0,,
2023-12-29,192.53,42672148.0,,
2023-12-28,193.58,34049898.0,,
2023-12-27,193.15,47899806.0,,
2023-12-26,193.05,28919310.0,,
2023-12-22,193.6,37149570.0,,
2023-12-21,194.68,46482549.0,,
2023-12-20,194.83,52242815.0,,
,,,-4119155.0,
,,,-33848518.0,
,,,-50677999.0,
,,,-1147150.0,
,,,-27493275.0,
,,,-3004144.0,
,,,-29991745.0,
,,,-28415677.0,
,,,-12926379.0,
,,,-32984.0,
,,,-11566839.0,
,,,-708980.0,
,,,-2753217.0,
,,,-64056322.0,
,,,-23708127.0,
,,,-884496.0,
,,,-23305748.0,
,,,-1058496.0,
2024-05-12,,,,-1.0
