Date,Negative_Count,Neutral_Count,Positive_Count,Total_Count
2024-04-24,-1,2,1,0
2024-04-25,-1,2,0,-1
2024-04-26,0,0,2,2
2024-04-27,0,0,1,1
2024-04-29,0,1,0,0
2024-05-01,-1,0,0,-1
2024-05-03,-1,0,0,-1
2024-05-04,0,1,0,0
2024-05-06,-1,0,1,0
2024-05-07,0,2,3,3
2024-05-08,-1,1,0,-1
2024-05-09,0,2,2,2
2024-05-10,0,2,0,0
2024-05-13,0,1,2,2
2024-05-14,0,5,2,2
2024-05-15,-1,6,3,2
2024-05-16,0,3,2,2
2024-05-17,0,1,0,0
2024-05-18,0,0,1,1
2024-05-19,0,0,1,1
2024-05-20,0,3,0,0
2024-05-21,0,3,2,2
2024-05-22,0,1,0,0
